membership,school,url
www.diglib.org,Iowa State University,http://www.lib.iastate.edu/
www.diglib.org,Johns Hopkins University,http://www.library.jhu.edu/#
www.diglib.org,Joint Information Systems Committee,http://www.jisc.ac.uk/
www.diglib.org,Kenyon College,https://lbis.kenyon.edu/
www.diglib.org,Lafayette College,https://library.lafayette.edu/frontpage
www.diglib.org,Lehigh University,http://library.lehigh.edu/
www.diglib.org,Library of Congress,http://www.loc.gov/
www.diglib.org,Los Alamos National Laboratory Research Library,http://www.lanl.gov/library/
www.diglib.org,Macalester College,http://www.macalester.edu/library/
www.diglib.org,McGill University,https://www.mcgill.ca/library/library-and-collections
www.diglib.org,McMaster University,http://library.mcmaster.ca/
www.diglib.org,Marquette University,http://www.marquette.edu/library/
www.diglib.org,Massachusetts Institute of Technology,http://libraries.mit.edu/
www.diglib.org,Metropolitan New York Library Council (METRO),http://www.metro.org/
www.diglib.org,Middle Tennessee State University,http://library.mtsu.edu/
www.diglib.org,Middlebury College,http://www.middlebury.edu/academics/lib
www.diglib.org,Montana State University,http://www.lib.montana.edu/
www.diglib.org,Mount Holyoke College,https://www.mtholyoke.edu/lits
www.diglib.org,National Archives and Records Administration,http://www.archives.gov/index.html
www.diglib.org,National Library of Medicine,http://www.nlm.nih.gov/
www.diglib.org,New York Art Resources Consortium (NYARC),http://www.nyarc.org/
www.diglib.org,New York Public Library,http://digital.nypl.org/
www.diglib.org,New York University,http://www.nyu.edu/library/
www.diglib.org,North Carolina State University Libraries,http://www.lib.ncsu.edu/
www.diglib.org,Northeastern University,http://library.northeastern.edu/
www.diglib.org,Northwestern University Library,http://www.library.northwestern.edu/
www.diglib.org,Occidental College,http://www.oxy.edu/library
www.diglib.org,OCLC Research,http://www.oclc.org/research/
www.diglib.org,The Ohio State University,http://library.osu.edu/
www.diglib.org,Oregon State University Libraries,http://osulibrary.oregonstate.edu/
www.diglib.org,"Pennsylvania State University, University Libraries",http://www.libraries.psu.edu/psul/home.html
www.diglib.org,Philadelphia Museum of Art,http://www.philamuseum.org/library/
www.diglib.org,Princeton Theological Seminary,http://www.ptsem.edu/library/
www.diglib.org,Princeton University Library,http://libweb.princeton.edu/
www.diglib.org,Purdue University,https://www.lib.purdue.edu/
www.diglib.org,Reed College,http://library.reed.edu/
www.diglib.org,Rhodes College,http://www.rhodes.edu/barret/
www.diglib.org,Rice University,http://www.rice.edu/fondren/
www.diglib.org,St. Lawrence University,http://www.stlawu.edu/library/
www.diglib.org,St. Olaf College,http://www.stolaf.edu/library/
www.diglib.org,Smith College,http://www.smith.edu/libraries/
www.diglib.org,Smithsonian Institution Libraries,http://www.sil.si.edu/
www.diglib.org,Southern Methodist University,http://www.smu.edu/Libraries
www.diglib.org,Stanford University,http://www-sul.stanford.edu
www.diglib.org,Stony Brook University Libraries,http://library.stonybrook.edu/
www.diglib.org,Swarthmore College,http://www.swarthmore.edu/libraries
www.diglib.org,Temple University,http://library.temple.edu/
www.diglib.org,Texas A & M University,http://library.tamu.edu/
www.diglib.org,Trinity University,http://library.trinity.edu/
www.diglib.org,University of Alabama,http://www.ua.edu/libraries.html
www.diglib.org,"University at Albany, SUNY",http://library.albany.edu/
www.diglib.org,University of Alberta,http://www.library.ualberta.ca/
www.diglib.org,University of Arizona,http://www.arizona.edu/topics/libraries
www.diglib.org,University of Arkansas,http://libinfo.uark.edu/
www.diglib.org,The University of British Columbia,http://www.library.ubc.ca/
www.diglib.org,"University of California, Berkeley",http://www.lib.berkeley.edu/node
www.diglib.org,"University of California, Irvine",http://www.lib.uci.edu/
www.diglib.org,"University of California, Los Angeles",http://www2.library.ucla.edu/
www.diglib.org,"University of California, Riverside",http://library.ucr.edu/
www.diglib.org,"University of California, San Diego",http://libraries.ucsd.edu
www.diglib.org,"University of California, Santa Barbara",http://www.library.ucsb.edu/
www.diglib.org,University of Chicago Library,http://www.lib.uchicago.edu/
www.diglib.org,University of Delaware,http://library.udel.edu/
www.diglib.org,University of Denver,http://library.du.edu/
www.diglib.org,University of Georgia,http://www.libs.uga.edu/
www.diglib.org,University of Guelph,http://www.lib.uoguelph.ca/
www.diglib.org,University of Houston,http://info.lib.uh.edu/
www.diglib.org,University of Illinois at Chicago,http://library.uic.edu/
www.diglib.org,University of Illinois at Urbana-Champaign,http://gateway.library.uiuc.edu
www.diglib.org,University of Iowa,http://www.lib.uiowa.edu/
www.diglib.org,University of Kentucky,http://libraries.uky.edu/
www.diglib.org,University of Maryland,http://www.lib.umd.edu/
www.diglib.org,University of Miami,http://library.miami.edu
www.diglib.org,University of Michigan,http://www.lib.umich.edu/lit/
www.diglib.org,University of Minnesota,http://www.lib.umn.edu/
www.diglib.org,University of Nebraska-Lincoln,http://libraries.unl.edu/
www.diglib.org,University of New Mexico,http://library.unm.edu/
www.diglib.org,University of North Carolina at Chapel Hill,http://library.unc.edu/
www.diglib.org,University of North Texas,http://www.library.unt.edu/
www.diglib.org,University of Notre Dame,http://library.nd.edu/
www.diglib.org,University of Pennsylvania,http://www.library.upenn.edu/
www.diglib.org,University of Richmond,http://library.richmond.edu/
www.diglib.org,University of San Francisco,http://www.usfca.edu/library/
www.diglib.org,University of South Carolina,http://library.sc.edu/p/TCL
www.diglib.org,University of Southern California,http://www.usc.edu/libraries/
www.diglib.org,University of Tennessee,http://www.lib.utk.edu/
www.diglib.org,University of Texas at Arlington,http://www.uta.edu/library/
www.diglib.org,University of Texas at Austin,http://www.lib.utexas.edu/
www.diglib.org,University of Utah,http://www.lib.utah.edu/
www.diglib.org,University of Virginia,http://www.lib.virginia.edu
www.diglib.org,University of Washington,http://www.lib.washington.edu/
www.diglib.org,University of Wisconsin Madison,http://www.library.wisc.edu/
www.diglib.org,University of Wyoming,http://www-lib.uwyo.edu/
www.diglib.org,Vassar College,http://library.vassar.edu/
www.diglib.org,Virginia Tech,http://www.lib.vt.edu 
www.diglib.org,Washington and Lee University,http://library.wlu.edu/
www.diglib.org,Washington University in St. Louis,http://libraries.wustl.edu/
www.diglib.org,West Virginia University,https://www.libraries.wvu.edu/
www.diglib.org,Whitman College,http://www.whitman.edu/penrose/
www.diglib.org,Yale University Library,http://www.library.yale.edu/
www.oclc.org,American Antiquarian Society,http://www.americanantiquarian.org/
www.oclc.org,American Philosophical Society Library,http://www.amphilsoc.org/
www.oclc.org,American University in Cairo,http://www.library.aucegypt.edu/
www.oclc.org,Art Institute of Chicago,http://www.artic.edu/
www.oclc.org,Athenaeum of Philadelphia,http://www.philaathenaeum.org/
www.oclc.org,Australian National University,http://anulib.anu.edu.au/
www.oclc.org,Bard College-Bard Graduate Center,http://www.bgc.bard.edu/
www.oclc.org,"Binghamton University, State University of New York",http://library.binghamton.edu/
www.oclc.org,Boston College,http://www.bc.edu/libraries/
www.oclc.org,Boston University,http://www.bu.edu/library/index.shtml
www.oclc.org,Brandeis University,http://lts.brandeis.edu/
www.oclc.org,Brigham Young University,http://lib.byu.edu/
www.oclc.org,British Library,http://www.bl.uk/
www.oclc.org,Brown University,http://library.brown.edu/
www.oclc.org,Bryn Mawr College,http://www.brynmawr.edu/
www.oclc.org,California Digital Library,http://www.cdlib.org/
www.oclc.org,California Institute of Technology,http://library.caltech.edu/
www.oclc.org,Carnegie Mellon University,http://search.library.cmu.edu/
www.oclc.org,Case Western Reserve University,http://library.case.edu
www.oclc.org,Chemical Heritage Foundation,http://www.chemheritage.org/
www.oclc.org,Sterling and Francine Clark Art Institute,http://www.clarkart.edu/
www.oclc.org,Cleveland Museum of Art,http://www.clevelandart.org/
www.oclc.org,Cold Spring Harbor Laboratory,http://library.cshl.edu/
www.oclc.org,Columbia University,http://library.columbia.edu/
www.oclc.org,Cornell University,http://www.library.cornell.edu/
www.oclc.org,Curtin University,http://library.curtin.edu.au/
www.oclc.org,Dartmouth College,http://library.dartmouth.edu/
www.oclc.org,Deakin University,http://www.deakin.edu.au/
www.oclc.org,Duke University,http://library.duke.edu/
www.oclc.org,Emory University,http://web.library.emory.edu/
www.oclc.org,Folger Shakespeare Library,http://www.folger.edu/
www.oclc.org,Fordham University,http://www.library.fordham.edu/
www.oclc.org,Frick Collection and Frick Art Reference Library,http://www.frick.org/library/
www.oclc.org,George Washington University,http://www.gelman.gwu.edu/
www.oclc.org,Getty Research Institute,http://www.getty.edu/research/
www.oclc.org,Göttingen State and University Library,http://www.sub.uni-goettingen.de/sub-aktuell/
www.oclc.org,Hagley Museum and Library,http://www.hagley.org/library/
www.oclc.org,Harvard University,http://library.harvard.edu/
www.oclc.org,Haverford College,http://www.haverford.edu/library/
www.oclc.org,Hebrew Union College - Jewish Institute of Religion,http://www.huc.edu/libraries/
www.oclc.org,"Huntington Library, Art Collections, and Botanical Gardens",http://www.huntington.org/
www.oclc.org,Imperial College London,http://www3.imperial.ac.uk/library/
www.oclc.org,Indiana University Bloomington,http://libraries.iub.edu/
www.oclc.org,Institute for Advanced Study,http://library.ias.edu/
www.oclc.org,International Institute of Social History,http://www.iisg.nl/
www.oclc.org,Iowa State University,http://www.lib.iastate.edu/
www.oclc.org,Johns Hopkins University,http://www.library.jhu.edu/
www.oclc.org,Keio University - Mita Media Center,http://www.lib.keio.ac.jp/en/
www.oclc.org,Kimbell Art Museum,http://www.kimbellart.org/
www.oclc.org,King's College London,http://www.kcl.ac.uk/library/
www.oclc.org,La Trobe University,http://www.lib.latrobe.edu.au/
www.oclc.org,Leiden University,http://www.library.leiden.edu/
www.oclc.org,Library Company of Philadelphia,http://www.librarycompany.org/
www.oclc.org,Library of Congress,http://www.loc.gov/index.html
www.oclc.org,"Linda Hall Library of Science, Engineering & Technology",http://www.lindahall.org/
www.oclc.org,London School of Economics,http://www2.lse.ac.uk/library/home.aspx
www.oclc.org,Macquarie University,http://www.mq.edu.au/on_campus/library/
www.oclc.org,Massachusetts Institute of Technology,http://libraries.mit.edu/
www.oclc.org,Memorial Sloan-Kettering Cancer Center Library,http://library.mskcc.org
www.oclc.org,Metropolitan Museum of Art,http://www.metmuseum.org/
www.oclc.org,Minnesota Historical Society,http://www.mnhs.org/index.htm
www.oclc.org,Monash University,http://www.monash.edu.au/library/
